Metro,State,Date,Rent,YearMonth
"Palm Bay, FL",FL,2015-01-31,979.6318498376683,2015-01
"Jackson, MS",MS,2015-01-31,,2015-01
"Harrisburg, PA",PA,2015-01-31,859.7043658107333,2015-01
"Spokane, WA",WA,2015-01-31,751.563815135855,2015-01
"Scranton, PA",PA,2015-01-31,756.4337148404578,2015-01
"Chattanooga, TN",TN,2015-01-31,841.1479605956026,2015-01
"Modesto, CA",CA,2015-01-31,983.0456909744465,2015-01
"Lancaster, PA",PA,2015-01-31,759.3103513829668,2015-01
"Portland, ME",ME,2015-01-31,1192.6361338590084,2015-01
"Youngstown, OH",OH,2015-01-31,,2015-01
"Lansing, MI",MI,2015-01-31,690.4866432197563,2015-01
"Fayetteville, AR",AR,2015-01-31,872.850598660427,2015-01
"Fayetteville, NC",NC,2015-01-31,813.6327212606227,2015-01
"Lexington, KY",KY,2015-01-31,837.1068223168887,2015-01
"Pensacola, FL",FL,2015-01-31,944.2577626969237,2015-01
"Santa Rosa, CA",CA,2015-01-31,1675.9300475835792,2015-01
"Reno, NV",NV,2015-01-31,1003.661374174752,2015-01
"Huntsville, AL",AL,2015-01-31,779.9983609474449,2015-01
"Port St. Lucie, FL",FL,2015-01-31,1149.17182175642,2015-01
"Lafayette, LA",LA,2015-01-31,,2015-01
"Myrtle Beach, SC",SC,2015-01-31,1010.2740170338974,2015-01
"Springfield, MO",MO,2015-01-31,730.2186008536752,2015-01
"Visalia, CA",CA,2015-01-31,996.6437943834441,2015-01
"Killeen, TX",TX,2015-01-31,838.7070710039227,2015-01
"Asheville, NC",NC,2015-01-31,980.2843858725884,2015-01
"York, PA",PA,2015-01-31,776.0908114638382,2015-01
"Vallejo, CA",CA,2015-01-31,1408.1496102458655,2015-01
"Santa Maria, CA",CA,2015-01-31,1828.6988940550732,2015-01
"Salinas, CA",CA,2015-01-31,1475.6378941070252,2015-01
"Salem, OR",OR,2015-01-31,868.0100139459929,2015-01
"Mobile, AL",AL,2015-01-31,749.0130963114087,2015-01
"Reading, PA",PA,2015-01-31,777.5713562609973,2015-01
"Corpus Christi, TX",TX,2015-01-31,1011.7381768743847,2015-01
"Brownsville, TX",TX,2015-01-31,,2015-01
"Manchester, NH",NH,2015-01-31,1100.6304323312438,2015-01
"Fort Wayne, IN",IN,2015-01-31,663.9250625579167,2015-01
"Gulfport, MS",MS,2015-01-31,863.8757676705832,2015-01
"Salisbury, MD",DE,2015-01-31,1153.2464701286951,2015-01
"Flint, MI",MI,2015-01-31,582.1067435062189,2015-01
"Peoria, IL",IL,2015-01-31,,2015-01
"Canton, OH",OH,2015-01-31,635.4254904269973,2015-01
"Savannah, GA",GA,2015-01-31,995.6191966814254,2015-01
"Anchorage, AK",AK,2015-01-31,1258.9829334755218,2015-01
"Beaumont, TX",TX,2015-01-31,810.8814076183751,2015-01
"Shreveport, LA",LA,2015-01-31,993.5276198549376,2015-01
"Trenton, NJ",NJ,2015-01-31,1541.2766485411582,2015-01
"Montgomery, AL",AL,2015-01-31,896.4690468804982,2015-01
"Davenport, IA",IL,2015-01-31,708.3104220689426,2015-01
"Tallahassee, FL",FL,2015-01-31,888.8164005804973,2015-01
"Eugene, OR",OR,2015-01-31,993.3232754477752,2015-01
"Naples, FL",FL,2015-01-31,1468.0532449560671,2015-01
"Ann Arbor, MI",MI,2015-01-31,1293.2238287312614,2015-01
"Ocala, FL",FL,2015-01-31,805.3438988610858,2015-01
"Hickory, NC",NC,2015-01-31,,2015-01
"Huntington, WV",OH,2015-01-31,,2015-01
"Fort Collins, CO",CO,2015-01-31,1220.5506121883811,2015-01
"Rockford, IL",IL,2015-01-31,685.6498609366786,2015-01
"Lincoln, NE",NE,2015-01-31,,2015-01
"Gainesville, FL",FL,2015-01-31,908.8803362925321,2015-01
"Boulder, CO",CO,2015-01-31,1445.6648135763821,2015-01
"Green Bay, WI",WI,2015-01-31,,2015-01
"Columbus, GA",GA,2015-01-31,751.3684760256723,2015-01
"South Bend, IN",IN,2015-01-31,688.5755266403078,2015-01
"Spartanburg, SC",SC,2015-01-31,,2015-01
"Greeley, CO",CO,2015-01-31,,2015-01
"Lubbock, TX",TX,2015-01-31,982.4070287051973,2015-01
"Clarksville, TN",TN,2015-01-31,831.7845279979756,2015-01
"Roanoke, VA",VA,2015-01-31,833.8433930485737,2015-01
"Evansville, IN",IN,2015-01-31,598.3847527905702,2015-01
"Kingsport, TN",TN,2015-01-31,,2015-01
"Kennewick, WA",WA,2015-01-31,983.7476209246043,2015-01
"Utica, NY",NY,2015-01-31,,2015-01
"Hagerstown, MD",MD,2015-01-31,919.985359082812,2015-01
"Duluth, MN",MN,2015-01-31,,2015-01
"Olympia, WA",WA,2015-01-31,1092.686425518537,2015-01
"Longview, TX",TX,2015-01-31,,2015-01
"Wilmington, NC",NC,2015-01-31,906.858843084697,2015-01
"San Luis Obispo, CA",CA,2015-01-31,1699.8855489532905,2015-01
"Crestview, FL",FL,2015-01-31,1030.0343524335656,2015-01
"Merced, CA",CA,2015-01-31,944.753510346094,2015-01
"Waco, TX",TX,2015-01-31,961.3742525693076,2015-01
"Cedar Rapids, IA",IA,2015-01-31,,2015-01
"Atlantic City, NJ",NJ,2015-01-31,1123.945861333056,2015-01
"Bremerton, WA",WA,2015-01-31,1011.7763408484624,2015-01
"Sioux Falls, SD",SD,2015-01-31,,2015-01
"Santa Cruz, CA",CA,2015-01-31,2013.1627999739067,2015-01
"Erie, PA",PA,2015-01-31,,2015-01
"Norwich, CT",CT,2015-01-31,966.5361449826828,2015-01
"Amarillo, TX",TX,2015-01-31,,2015-01
"Laredo, TX",TX,2015-01-31,,2015-01
"Tuscaloosa, AL",AL,2015-01-31,,2015-01
"College Station, TX",TX,2015-01-31,1071.6520048710001,2015-01
"Kalamazoo, MI",MI,2015-01-31,778.6620883942458,2015-01
"Lynchburg, VA",VA,2015-01-31,776.8667253268231,2015-01
"Charleston, WV",WV,2015-01-31,,2015-01
"Yakima, WA",WA,2015-01-31,,2015-01
"Fargo, ND",ND,2015-01-31,,2015-01
"Binghamton, NY",NY,2015-01-31,,2015-01
"Fort Smith, AR",AR,2015-01-31,,2015-01
"Appleton, WI",WI,2015-01-31,,2015-01
"Prescott Valley, AZ",AZ,2015-01-31,990.2342238131157,2015-01
"Topeka, KS",KS,2015-01-31,712.9796334908798,2015-01
"Macon, GA",GA,2015-01-31,,2015-01
"Tyler, TX",TX,2015-01-31,,2015-01
"Barnstable Town, MA",MA,2015-01-31,,2015-01
"Daphne, AL",AL,2015-01-31,1022.8848175012912,2015-01
"Bellingham, WA",WA,2015-01-31,1056.5001923276884,2015-01
"Burlington, VT",VT,2015-01-31,,2015-01
"Rochester, MN",MN,2015-01-31,1067.7655053180322,2015-01
"Lafayette, IN",IN,2015-01-31,832.099659443052,2015-01
"Champaign, IL",IL,2015-01-31,792.7882363014502,2015-01
"Medford, OR",OR,2015-01-31,862.3162737527879,2015-01
"Lebanon, NH",NH,2015-01-31,,2015-01
"Charlottesville, VA",VA,2015-01-31,1170.109883678845,2015-01
"Lake Charles, LA",LA,2015-01-31,,2015-01
"Las Cruces, NM",NM,2015-01-31,803.1306791514723,2015-01
"Chico, CA",CA,2015-01-31,1021.9791967802432,2015-01
"Hilton Head Island, SC",SC,2015-01-31,1100.032355886207,2015-01
"Athens, GA",GA,2015-01-31,858.1746217920313,2015-01
"Lake Havasu City, AZ",AZ,2015-01-31,805.5132676315321,2015-01
"Columbia, MO",MO,2015-01-31,763.8317505320308,2015-01
"Springfield, IL",IL,2015-01-31,,2015-01
"Houma, LA",LA,2015-01-31,,2015-01
"Monroe, LA",LA,2015-01-31,,2015-01
"Elkhart, IN",IN,2015-01-31,,2015-01
"Johnson City, TN",TN,2015-01-31,,2015-01
"Yuma, AZ",AZ,2015-01-31,,2015-01
"Gainesville, GA",GA,2015-01-31,911.1349200269119,2015-01
"Jacksonville, NC",NC,2015-01-31,840.9159939601706,2015-01
"Florence, SC",SC,2015-01-31,,2015-01
"Hilo, HI",HI,2015-01-31,,2015-01
"St. Cloud, MN",MN,2015-01-31,,2015-01
"Racine, WI",WI,2015-01-31,,2015-01
"Bend, OR",OR,2015-01-31,1154.48794906324,2015-01
"Saginaw, MI",MI,2015-01-31,,2015-01
"Warner Robins, GA",GA,2015-01-31,,2015-01
"Terre Haute, IN",IN,2015-01-31,,2015-01
"Torrington, CT",CT,2015-01-31,871.9809415765235,2015-01
"Punta Gorda, FL",FL,2015-01-31,1054.037754206311,2015-01
"Billings, MT",MT,2015-01-31,845.3990876807434,2015-01
"Redding, CA",CA,2015-01-31,,2015-01
"Kingston, NY",NY,2015-01-31,,2015-01
"Panama City, FL",FL,2015-01-31,943.9205491239231,2015-01
"Joplin, MO",MO,2015-01-31,,2015-01
"Dover, DE",DE,2015-01-31,986.1351481235276,2015-01
"El Centro, CA",CA,2015-01-31,,2015-01
"Jackson, TN",TN,2015-01-31,,2015-01
"Yuba City, CA",CA,2015-01-31,,2015-01
"Bowling Green, KY",KY,2015-01-31,,2015-01
"St. George, UT",UT,2015-01-31,,2015-01
"Muskegon, MI",MI,2015-01-31,,2015-01
"Abilene, TX",TX,2015-01-31,811.2301364746612,2015-01
"Iowa City, IA",IA,2015-01-31,,2015-01
"Auburn, AL",AL,2015-01-31,,2015-01
"Midland, TX",TX,2015-01-31,,2015-01
"Bloomington, IL",IL,2015-01-31,,2015-01
"Hattiesburg, MS",MS,2015-01-31,,2015-01
"Oshkosh, WI",WI,2015-01-31,,2015-01
"Eau Claire, WI",WI,2015-01-31,,2015-01
"Greenville, NC",NC,2015-01-31,841.8990318732853,2015-01
"Burlington, NC",NC,2015-01-31,,2015-01
"Waterloo, IA",IA,2015-01-31,,2015-01
"Coeur d'Alene, ID",ID,2015-01-31,,2015-01
"East Stroudsburg, PA",PA,2015-01-31,973.8122985606302,2015-01
"Pueblo, CO",CO,2015-01-31,,2015-01
"Blacksburg, VA",VA,2015-01-31,,2015-01
"Wausau, WI",WI,2015-01-31,,2015-01
"Kahului, HI",HI,2015-01-31,,2015-01
"Janesville, WI",WI,2015-01-31,,2015-01
"Tupelo, MS",MS,2015-01-31,,2015-01
"Bloomington, IN",IN,2015-01-31,896.7423415311031,2015-01
"Odessa, TX",TX,2015-01-31,,2015-01
"Jackson, MI",MI,2015-01-31,,2015-01
"State College, PA",PA,2015-01-31,,2015-01
"Sebastian, FL",FL,2015-01-31,949.3559887327507,2015-01
"Madera, CA",CA,2015-01-31,,2015-01
"Decatur, AL",AL,2015-01-31,,2015-01
"Chambersburg, PA",PA,2015-01-31,736.3624657063151,2015-01
"Vineland, NJ",NJ,2015-01-31,,2015-01
"Idaho Falls, ID",ID,2015-01-31,639.538596482466,2015-01
"Grand Junction, CO",CO,2015-01-31,862.3557880365586,2015-01
"Elizabethtown, KY",KY,2015-01-31,,2015-01
"Niles, MI",MI,2015-01-31,,2015-01
"Monroe, MI",MI,2015-01-31,,2015-01
"Santa Fe, NM",NM,2015-01-31,,2015-01
"Concord, NH",NH,2015-01-31,,2015-01
"Alexandria, LA",LA,2015-01-31,,2015-01
"Traverse City, MI",MI,2015-01-31,,2015-01
"Bangor, ME",ME,2015-01-31,,2015-01
"Homosassa Springs, FL",FL,2015-01-31,,2015-01
"Hanford, CA",CA,2015-01-31,,2015-01
"Jefferson City, MO",MO,2015-01-31,,2015-01
"Florence, AL",AL,2015-01-31,,2015-01
"Dothan, AL",AL,2015-01-31,,2015-01
"London, KY",KY,2015-01-31,,2015-01
"Albany, GA",GA,2015-01-31,,2015-01
"Ottawa, IL",IL,2015-01-31,,2015-01
"Sioux City, IA",IA,2015-01-31,,2015-01
"Wichita Falls, TX",TX,2015-01-31,655.7446783914339,2015-01
"Texarkana, TX",TX,2015-01-31,,2015-01
"Valdosta, GA",GA,2015-01-31,,2015-01
"Logan, UT",UT,2015-01-31,,2015-01
"Flagstaff, AZ",AZ,2015-01-31,,2015-01
"Rocky Mount, NC",NC,2015-01-31,,2015-01
"Pottsville, PA",PA,2015-01-31,,2015-01
"Dalton, GA",GA,2015-01-31,,2015-01
"Lebanon, PA",PA,2015-01-31,,2015-01
"Morristown, TN",TN,2015-01-31,,2015-01
"Winchester, VA",VA,2015-01-31,1116.3989170375446,2015-01
"Wheeling, WV",OH,2015-01-31,,2015-01
"Morgantown, WV",WV,2015-01-31,,2015-01
"La Crosse, WI",WI,2015-01-31,,2015-01
"Napa, CA",CA,2015-01-31,,2015-01
"Rapid City, SD",SD,2015-01-31,,2015-01
"Sumter, SC",SC,2015-01-31,,2015-01
"Eureka, CA",CA,2015-01-31,,2015-01
"Springfield, OH",OH,2015-01-31,,2015-01
"Harrisonburg, VA",VA,2015-01-31,905.682009068233,2015-01
"Battle Creek, MI",MI,2015-01-31,,2015-01
"Sherman, TX",TX,2015-01-31,,2015-01
"Manhattan, KS",KS,2015-01-31,796.5916796726013,2015-01
"Carbondale, IL",IL,2015-01-31,,2015-01
"Johnstown, PA",PA,2015-01-31,,2015-01
"Jonesboro, AR",AR,2015-01-31,,2015-01
"Bismarck, ND",ND,2015-01-31,,2015-01
"Hammond, LA",LA,2015-01-31,,2015-01
"Pittsfield, MA",MA,2015-01-31,,2015-01
"Mount Vernon, WA",WA,2015-01-31,,2015-01
"Jamestown, NY",NY,2015-01-31,,2015-01
"The Villages, FL",FL,2015-01-31,,2015-01
"Albany, OR",OR,2015-01-31,,2015-01
"Glens Falls, NY",NY,2015-01-31,,2015-01
"Lawton, OK",OK,2015-01-31,689.5378160057504,2015-01
"Cleveland, TN",TN,2015-01-31,,2015-01
"Sierra Vista, AZ",AZ,2015-01-31,,2015-01
"Ames, IA",IA,2015-01-31,,2015-01
"Mansfield, OH",OH,2015-01-31,,2015-01
"Staunton, VA",VA,2015-01-31,,2015-01
"Augusta, ME",ME,2015-01-31,,2015-01
"Altoona, PA",PA,2015-01-31,,2015-01
"New Bern, NC",NC,2015-01-31,,2015-01
"Farmington, NM",NM,2015-01-31,,2015-01
"St. Joseph, MO",MO,2015-01-31,,2015-01
"San Angelo, TX",TX,2015-01-31,,2015-01
"Wenatchee, WA",WA,2015-01-31,,2015-01
"Owensboro, KY",KY,2015-01-31,,2015-01
"Holland, MI",MI,2015-01-31,,2015-01
"Lumberton, NC",NC,2015-01-31,,2015-01
"Lawrence, KS",KS,2015-01-31,,2015-01
"Goldsboro, NC",NC,2015-01-31,,2015-01
"Watertown, NY",NY,2015-01-31,,2015-01
"Sheboygan, WI",WI,2015-01-31,,2015-01
"Weirton, WV",OH,2015-01-31,,2015-01
"Missoula, MT",MT,2015-01-31,754.8462582004374,2015-01
"Wooster, OH",OH,2015-01-31,,2015-01
"Bozeman, MT",MT,2015-01-31,,2015-01
"Anniston, AL",AL,2015-01-31,,2015-01
"Beckley, WV",WV,2015-01-31,,2015-01
"Williamsport, PA",PA,2015-01-31,,2015-01
"Brunswick, GA",GA,2015-01-31,,2015-01
"California, MD",MD,2015-01-31,1118.5360402289434,2015-01
"Twin Falls, ID",ID,2015-01-31,,2015-01
"Cookeville, TN",TN,2015-01-31,,2015-01
"Muncie, IN",IN,2015-01-31,,2015-01
"Michigan City, IN",IN,2015-01-31,,2015-01
"Roseburg, OR",OR,2015-01-31,,2015-01
"Lewiston, ME",ME,2015-01-31,,2015-01
"Longview, WA",WA,2015-01-31,,2015-01
"Kankakee, IL",IL,2015-01-31,,2015-01
"Bluefield, WV",VA,2015-01-31,,2015-01
"Show Low, AZ",AZ,2015-01-31,,2015-01
"Richmond, KY",KY,2015-01-31,,2015-01
"Tullahoma, TN",TN,2015-01-31,,2015-01
"Whitewater, WI",WI,2015-01-31,,2015-01
"Ithaca, NY",NY,2015-01-31,,2015-01
"Grand Forks, ND",MN,2015-01-31,,2015-01
"Decatur, IL",IL,2015-01-31,,2015-01
"LaGrange, GA",GA,2015-01-31,,2015-01
"Bay City, MI",MI,2015-01-31,,2015-01
"Fond du Lac, WI",WI,2015-01-31,,2015-01
"Gettysburg, PA",PA,2015-01-31,,2015-01
"Gadsden, AL",AL,2015-01-31,,2015-01
"Kalispell, MT",MT,2015-01-31,,2015-01
"Danville, VA",VA,2015-01-31,,2015-01
"Mankato, MN",MN,2015-01-31,,2015-01
"Lima, OH",OH,2015-01-31,,2015-01
"Truckee, CA",CA,2015-01-31,,2015-01
"Sebring, FL",FL,2015-01-31,,2015-01
"Cheyenne, WY",WY,2015-01-31,881.8702841215908,2015-01
"Hot Springs, AR",AR,2015-01-31,,2015-01
"Shelby, NC",NC,2015-01-31,,2015-01
"Dubuque, IA",IA,2015-01-31,,2015-01
"Meridian, MS",MS,2015-01-31,,2015-01
"Pinehurst, NC",NC,2015-01-31,,2015-01
"Paducah, KY",KY,2015-01-31,,2015-01
"Victoria, TX",TX,2015-01-31,,2015-01
"Rome, GA",GA,2015-01-31,,2015-01
"Sevierville, TN",TN,2015-01-31,,2015-01
"Moses Lake, WA",WA,2015-01-31,,2015-01
"Ashtabula, OH",OH,2015-01-31,,2015-01
"Cape Girardeau, MO",MO,2015-01-31,,2015-01
"Albertville, AL",AL,2015-01-31,,2015-01
"Fairbanks, AK",AK,2015-01-31,,2015-01
"Brainerd, MN",MN,2015-01-31,,2015-01
"Cumberland, MD",MD,2015-01-31,,2015-01
"Ocean City, NJ",NJ,2015-01-31,,2015-01
"Corvallis, OR",OR,2015-01-31,,2015-01
"Pocatello, ID",ID,2015-01-31,,2015-01
"Corning, NY",NY,2015-01-31,,2015-01
"Sunbury, PA",PA,2015-01-31,,2015-01
"Ukiah, CA",CA,2015-01-31,,2015-01
"Hermiston, OR",OR,2015-01-31,,2015-01
"Clarksburg, WV",WV,2015-01-31,,2015-01
"Parkersburg, WV",WV,2015-01-31,,2015-01
"Beaver Dam, WI",WI,2015-01-31,,2015-01
"Pine Bluff, AR",AR,2015-01-31,,2015-01
"Grants Pass, OR",OR,2015-01-31,,2015-01
"Cullman, AL",AL,2015-01-31,,2015-01
"Lufkin, TX",TX,2015-01-31,,2015-01
"Zanesville, OH",OH,2015-01-31,,2015-01
"New Castle, PA",PA,2015-01-31,,2015-01
"Oak Harbor, WA",WA,2015-01-31,885.2937965189424,2015-01
"Orangeburg, SC",SC,2015-01-31,,2015-01
"Watertown, WI",WI,2015-01-31,,2015-01
"Meadville, PA",PA,2015-01-31,,2015-01
"Elmira, NY",NY,2015-01-31,,2015-01
"Great Falls, MT",MT,2015-01-31,,2015-01
"Russellville, AR",AR,2015-01-31,,2015-01
"Indiana, PA",PA,2015-01-31,,2015-01
"Midland, MI",MI,2015-01-31,,2015-01
"Kokomo, IN",IN,2015-01-31,,2015-01
"Bloomsburg, PA",PA,2015-01-31,,2015-01
"Helena, MT",MT,2015-01-31,,2015-01
"Key West, FL",FL,2015-01-31,,2015-01
"Talladega, AL",AL,2015-01-31,,2015-01
"Stillwater, OK",OK,2015-01-31,,2015-01
"Columbus, IN",IN,2015-01-31,,2015-01
"Athens, TX",TX,2015-01-31,,2015-01
"Centralia, WA",WA,2015-01-31,,2015-01
"Manitowoc, WI",WI,2015-01-31,,2015-01
"Hinesville, GA",GA,2015-01-31,906.1907918138133,2015-01
"DuBois, PA",PA,2015-01-31,,2015-01
"Warsaw, IN",IN,2015-01-31,,2015-01
"Statesboro, GA",GA,2015-01-31,,2015-01
"Casper, WY",WY,2015-01-31,,2015-01
"Wilson, NC",NC,2015-01-31,,2015-01
"Glenwood Springs, CO",CO,2015-01-31,,2015-01
"Seneca, SC",SC,2015-01-31,,2015-01
"Minot, ND",ND,2015-01-31,,2015-01
"Grand Island, NE",NE,2015-01-31,,2015-01
"Port Angeles, WA",WA,2015-01-31,,2015-01
"Auburn, NY",NY,2015-01-31,,2015-01
"Huntsville, TX",TX,2015-01-31,,2015-01
"Keene, NH",NH,2015-01-31,,2015-01
"Heber, UT",UT,2015-01-31,,2015-01
"Quincy, IL",IL,2015-01-31,,2015-01
"Findlay, OH",OH,2015-01-31,,2015-01
"Frankfort, KY",KY,2015-01-31,,2015-01
"Danville, IL",IL,2015-01-31,,2015-01
"Aberdeen, WA",WA,2015-01-31,,2015-01
"Wisconsin Rapids, WI",WI,2015-01-31,,2015-01
"Jefferson, GA",GA,2015-01-31,,2015-01
"Kapaa, HI",HI,2015-01-31,,2015-01
"Palatka, FL",FL,2015-01-31,,2015-01
"Shawnee, OK",OK,2015-01-31,,2015-01
"Stevens Point, WI",WI,2015-01-31,,2015-01
"Greeneville, TN",TN,2015-01-31,,2015-01
"Greenwood, SC",SC,2015-01-31,,2015-01
"Lake City, FL",FL,2015-01-31,,2015-01
"Klamath Falls, OR",OR,2015-01-31,,2015-01
"Morehead City, NC",NC,2015-01-31,,2015-01
"Clearlake, CA",CA,2015-01-31,,2015-01
"Alamogordo, NM",NM,2015-01-31,,2015-01
"Roanoke Rapids, NC",NC,2015-01-31,,2015-01
"Muskogee, OK",OK,2015-01-31,,2015-01
"Faribault, MN",MN,2015-01-31,,2015-01
"Richmond, IN",IN,2015-01-31,,2015-01
"Marquette, MI",MI,2015-01-31,,2015-01
"Mount Pleasant, MI",MI,2015-01-31,,2015-01
"Baraboo, WI",WI,2015-01-31,,2015-01
"Jasper, AL",AL,2015-01-31,,2015-01
"Roswell, NM",NM,2015-01-31,,2015-01
"Shelton, WA",WA,2015-01-31,,2015-01
"Dublin, GA",GA,2015-01-31,,2015-01
"Nacogdoches, TX",TX,2015-01-31,,2015-01
"Coos Bay, OR",OR,2015-01-31,,2015-01
"Martinsville, VA",VA,2015-01-31,,2015-01
